location_id,icao,lcd_id,dist_km,elev_m,archive_begin,tier
390,LWM,USW00094723,7.6,45.0,1979-01-22,1
391,OMA,USW00014942,6.2,295.66733,1929-01-01,1
392,SYR,USW00014771,70.9,124.0,1930-01-01,1
393,DSM,USW00014933,55.8,294.0,1928-01-01,1
394,CRQ,USW00003177,10.4,100.0,1972-12-31,1
395,BWG,USW00093808,5.5,167.0,1948-01-01,1
396,GMU,USW00013886,4.3,304.0,1942-09-07,1
397,DSM,USW00014933,6.8,294.0,1928-01-01,1
398,MIV,USW00013735,14.1,25.0,1949-01-01,1
399,HUF,USW00003868,9.3,179.0,1954-12-31,1
400,GKY,USW00053907,12.1,192.0,1998-12-01,1
401,BDL,USW00014740,36.9,55.0,1941-09-12,1
402,HVN,USW00014758,31.2,4.0,1948-01-01,1
403,DJT,USW00012844,16.9,6.0,1938-07-01,1
404,FYV,USW00093993,36.6,381.0,1949-07-14,1
405,GJT,USW00023066,7.9,1475.0,1948-01-01,1
406,DGW,USW00094057,76.0,1502.0,1972-12-31,1
407,DEN,USW00003017,37.9,1656.0,1974-11-12,1
408,APC,USW00093227,31.3,7.9653864,1972-12-31,1
409,DAY,USW00093815,35.0,305.0,1929-12-31,1
410,GTF,USW00024143,7.8,1115.0,1948-01-01,1
411,LNS,USW00054737,9.2,123.0,1973-07-01,1
412,PGD,USW00012812,28.0,8.0,1944-01-04,1
413,FTY,USW00003888,19.4,256.0,1972-12-31,1
414,APC,USW00093227,34.0,7.9653864,1972-12-31,1
415,CSG,USW00093842,51.6,121.0,1947-12-31,1
416,EVV,USW00093817,47.0,117.0,1901-01-01,1
417,DJT,USW00012844,27.7,6.0,1938-07-01,1
418,IDA,USW00024145,3.8,1445.0,1933-05-01,1
419,DBQ,USW00094908,12.0,329.0,1951-02-01,1
420,MEM,USW00013893,18.9,87.0,1931-10-31,1
421,DAL,USW00013960,27.6,148.0,1930-01-01,1
422,PTK,USW00094817,21.0,299.0,1972-12-31,1
423,FUL,USW00003166,30.4,29.0,1972-12-31,1
424,BFI,USW00024234,20.8,5.0,1930-01-01,1
425,LEE,USW00012819,51.9,24.0,1943-12-21,1
426,MDW,USW00014819,23.9,188.0,1928-10-04,1
427,RWI,USW00093759,12.9,48.0,1973-06-20,1
428,LAF,USW00014835,68.1,182.0,1948-11-30,1
429,FME,USW00093721,8.9,46.0,1959-11-13,1
430,PHX,USW00023183,53.6,337.0,1931-01-01,1
431,SMF,USW00093225,15.9,7.0,1972-12-31,1
432,VLD,USW00093845,5.6,62.0,1947-12-31,1
433,MHK,USW00003936,10.6,322.0,1972-12-31,1
434,SFB,USW00012854,3.6,17.0,1945-04-01,1
435,EWR,USW00014734,32.4,2.0,1930-12-31,1
436,DCU,USW00053852,6.2,177.0,1996-11-01,1
437,CEF,USW00014775,7.8,75.0,1941-04-01,1
438,MIE,USW00094895,28.6,285.0,1972-12-31,1
439,JFK,USW00094789,14.2,7.0,1948-07-01,1
440,SLE,USW00024232,43.4,61.0,1928-06-25,1
441,HJO,USW00053119,60.9,76.36669,1998-05-01,1
442,FAR,USW00014914,112.4,274.0,1947-12-31,1
443,ATT,USW00013958,35.6,203.0,1938-04-01,1
444,HJO,USW00053119,2.7,76.36669,1998-05-01,1
445,PIH,USW00024156,13.0,1365.0,1900-12-31,1
446,RAL,USW00003171,29.3,249.0,1977-01-16,1
