location_id,eccc_station_id,station_name,candidate_rank,lon,dist_km,elev_m,elevation_difference_m,start_year,end_year,utc_offset_hours
175,42183,BARRIE-ORO,2,-79.55,17.08,289.0,20.0,2003,2026,-5.0
175,10955,COLLINGWOOD,3,-80.21667,45.16,178.3,90.7,1994,2023,-5.0
175,7697,BARRIE (AUT),4,-79.78333,8.41,295.0,26.0,1994,2003,-5.0
175,10753,EGBERT (AUT),5,-79.78333,16.43,251.0,18.0,1990,1993,-5.0
182,5911,JONQUIERE,1,-71.1425,6.68,135.6,51.6,1994,2026,-5.0
182,5889,BAGOTVILLE A,2,-71.0,9.44,159.1,75.1,1953,2026,-5.0
183,51117,KELOWNA UBCO,1,-119.40021,7.08,456.0,106.0,2012,2026,-8.0
183,48369,KELOWNA,2,-119.37778,9.43,433.1,83.1,2009,2026,-8.0
183,46987,VERNON AUTO,3,-119.19353,41.78,482.0,132.0,2007,2026,-8.0
183,1053,PENTICTON A,4,-119.60222,48.08,344.4,5.6,1953,2012,-8.0
183,1001,KELOWNA A,5,-119.37778,9.32,429.5,79.5,1959,2005,-8.0
184,48569,KITCHENER/WATERLOO,1,-80.37861,14.62,321.6,13.4,2010,2026,-5.0
184,41983,ELORA RCS,2,-80.41667,18.84,376.4,41.4,2003,2026,-5.0
184,27529,HAMILTON RBG CS,3,-79.90833,38.44,102.0,233.0,2000,2026,-5.0
184,5097,TORONTO LESTER B. PEARSON INT'L A,4,-79.63056,51.02,173.4,161.6,1953,2013,-5.0
184,4932,HAMILTON A,5,-79.93418,47.89,237.7,97.3,1970,2011,-5.0
188,51698,TROIS RIVIERES A,1,-72.68056,5.48,60.7,44.7,2013,2026,-5.0
188,8321,TROIS-RIVIERES,2,-72.68333,5.57,62.2,46.2,1963,2026,-5.0
188,10764,TROIS-RIVIERES,3,-72.51611,7.35,6.0,10.0,1994,2026,-5.0
188,27646,SHAWINIGAN,4,-72.73333,24.19,110.0,94.0,1999,2026,-5.0
194,50131,ST. CATHARINES / NIAGARA DISTRICT A,1,-79.17167,7.16,97.8,4.2,2012,2026,-5.0
194,53000,ST CATHARINES A,2,-79.17111,7.21,97.8,4.2,2014,2026,-5.0
194,7790,PORT WELLER (AUT),3,-79.21667,8.31,79.0,23.0,1993,2026,-5.0
194,5085,TORONTO ISLAND A,4,-79.395,50.87,76.5,25.5,1957,2006,-5.0
194,4683,ST CATHARINES A,5,-79.16667,7.75,97.8,4.2,1971,2012,-5.0
199,50428,KINGSTON A,1,-76.59667,9.34,92.4,9.4,2012,2026,-5.0
