location_id,lat,lng,cell_lat,cell_lon,snapped
299,36.063,-94.157,36.0625,-94.1875,False
300,40.484,-88.994,40.4375,-88.9375,False
301,29.584,-81.208,29.5625,-81.1875,False
302,41.593,-87.346,41.5625,-87.3125,False
303,42.726,-87.783,42.6875,-87.8125,False
304,37.414,-79.142,37.4375,-79.1875,False
305,42.327,-122.876,42.3125,-122.9375,False
306,39.767,-94.847,39.8125,-94.8125,False
307,39.926,-75.12,39.9375,-75.0625,False
308,37.097,-113.568,37.0625,-113.5625,False
309,46.211,-119.137,46.1875,-119.1875,False
310,31.579,-84.156,31.5625,-84.1875,False
311,42.088,-87.981,42.0625,-87.9375,False
312,41.409,-75.662,41.4375,-75.6875,False
313,42.292,-85.587,42.3125,-85.5625,False
314,29.736,-94.977,29.6875,-94.9375,False
315,36.187,-94.129,36.1875,-94.1875,False
316,40.626,-75.37,40.6875,-75.3125,False
317,32.832,-79.828,32.8125,-79.8125,False
318,39.84,-88.955,39.8125,-88.9375,False
319,30.227,-93.217,30.1875,-93.1875,False
320,45.011,-93.456,45.0625,-93.4375,False
321,41.699,-88.068,41.6875,-88.0625,False
322,44.262,-88.415,44.3125,-88.4375,False
323,35.262,-81.187,35.3125,-81.1875,False
324,42.658,-83.15,42.6875,-83.1875,False
325,40.799,-81.378,40.8125,-81.4375,False
326,32.613,-83.624,32.5625,-83.5625,False
327,37.797,-121.216,37.8125,-121.1875,False
328,41.661,-91.53,41.6875,-91.5625,False
329,35.842,-90.704,35.8125,-90.6875,False
330,39.739,-75.54,39.6875,-75.5625,False
331,41.879,-71.383,41.9375,-71.4375,False
332,26.532,-80.091,26.5625,-80.0625,False
333,43.012,-88.231,43.0625,-88.1875,False
334,30.367,-89.093,30.3125,-89.0625,False
335,44.081,-103.231,44.0625,-103.1875,False
336,41.06,-111.971,41.0625,-111.9375,False
337,40.417,-86.875,40.4375,-86.9375,False
338,37.495,-120.847,37.4375,-120.8125,False
339,40.193,-85.386,40.1875,-85.4375,False
340,31.098,-97.343,31.0625,-97.3125,False
341,29.619,-95.538,29.5625,-95.5625,False
342,35.687,-105.938,35.6875,-105.9375,False
343,46.879,-113.997,46.9375,-113.9375,False
344,34.925,-81.025,34.9375,-81.0625,False
345,34.754,-77.43,34.8125,-77.4375,False
346,35.925,-86.869,35.9375,-86.8125,False
347,35.198,-111.651,35.1875,-111.6875,False
348,26.1,-80.4,26.0625,-80.4375,False
349,42.493,-92.343,42.4375,-92.3125,False
350,26.641,-81.872,26.6875,-81.8125,False
351,31.223,-85.39,31.1875,-85.4375,False
352,33.849,-118.388,33.8125,-118.4375,False
353,35.615,-88.814,35.5625,-88.8125,False
