location_id,center_lat,center_lng,offset_km,matched
397,48.7595,-122.4882,1.49,True
398,38.9717,-95.2352,2.94,True
399,38.8106,-90.6998,4.02,True
400,40.3357,-75.9269,0.4,True
401,32.7941,-79.8626,1.61,True
402,40.3916,-111.8508,3.32,True
403,41.7015,-71.1551,5.71,True
404,40.2969,-111.6946,0.43,True
405,33.1434,-117.1661,1.25,True
406,41.1176,-73.4079,2.94,True
407,43.1001,-79.0663,6.16,True
408,33.7207,-116.2168,2.15,True
409,40.5865,-122.3917,2.77,True
410,46.1351,-60.1831,15.0,True
411,33.4054,-86.8114,3.37,True
412,35.6009,-82.554,3.33,True
413,49.1664,-121.9526,7.75,True
414,42.3684,-83.3527,3.59,True
415,42.7654,-71.4676,2.6,True
416,39.4143,-77.4105,2.52,True
417,30.6744,-96.37,1.41,True
418,38.678,-121.1761,3.25,True
419,48.4359,-123.3516,0.93,True
420,42.1292,-80.0851,1.7,True
421,45.4501,-73.4658,0.85,True
422,40.2171,-74.7429,1.91,True
423,34.0232,-84.3616,2.07,True
424,40.1164,-88.2434,2.67,True
425,30.5788,-97.8531,0.97,True
426,49.2194,-122.6019,6.49,True
427,35.3859,-94.3986,4.78,True
428,42.337,-71.2092,0.59,True
429,36.1867,-94.1288,2.42,True
430,34.6087,-98.3903,3.0,True
431,35.9251,-86.8689,1.94,True
432,35.687,-105.9378,4.85,True
433,33.2487,-111.6343,2.21,True
434,41.223,-111.9738,0.77,True
435,42.707,-71.1631,0.76,True
436,44.8408,-93.2983,1.82,True
437,41.3948,-73.454,2.06,True
438,26.2159,-98.3253,1.31,True
439,42.6056,-83.1499,2.44,True
440,29.2108,-81.0228,7.55,True
441,46.2112,-119.1372,3.34,True
442,46.7833,-92.1066,2.31,True
443,49.3164,-123.0693,6.99,True
444,44.0501,-79.4663,0.45,True
445,42.3636,-87.8448,2.24,True
446,32.6157,-83.6266,3.29,True
447,38.5891,-121.3027,5.93,True
448,28.0836,-80.6081,6.13,True
449,35.2621,-81.1873,1.47,True
450,29.7355,-94.9774,3.4,True
451,42.3265,-122.8756,2.22,True
452,34.4208,-119.6982,2.39,True
453,42.5,-96.4003,1.02,True
454,38.7071,-121.2811,1.5,True
455,47.3073,-122.2284,1.37,True
456,45.7422,-73.4501,2.69,True
457,40.9115,-73.7823,1.33,True
458,28.3047,-81.4167,0.24,True
459,37.386,-122.0838,1.57,True
460,41.0602,-111.9711,2.1,True
461,32.6099,-85.4808,1.01,True
462,41.7798,-71.4373,4.11,True
463,32.5632,-97.1417,2.09,True
464,41.7001,-71.4162,0.48,True
465,39.3722,-104.8561,0.52,True
466,45.0941,-93.3563,1.95,True
467,39.1653,-86.5264,0.26,True
468,35.8423,-90.7043,3.38,True
469,42.4853,-83.3772,0.1,True
470,32.5007,-94.7405,2.9,True
471,46.2396,-119.1006,3.36,True
472,30.2131,-93.2044,1.68,True
473,47.674,-122.1215,0.64,True
474,42.3242,-83.4002,1.69,True
475,41.8456,-87.7539,0.46,True
476,44.9239,-92.9594,3.42,True
477,37.4138,-79.1423,4.98,True
478,27.9098,-82.7884,1.4,True
479,44.0805,-103.231,1.48,True
480,35.7326,-78.8503,2.79,True
481,34.0289,-84.1986,0.64,True
482,45.7804,-74.0036,3.26,True
483,40.6259,-75.3705,0.22,True
484,33.0146,-97.097,3.01,True
485,46.0945,-64.7965,3.2,True
486,43.0125,-83.6875,1.37,True
487,44.6497,-93.2427,3.02,True
488,45.8834,-72.4824,1.69,True
489,30.5052,-97.8203,0.58,True
490,45.0105,-93.4555,1.43,True
491,49.2068,-122.9109,0.58,True
492,46.8721,-113.994,2.45,True
493,33.8187,-84.5824,0.82,True
494,40.4842,-88.9937,2.22,True
495,37.4283,-121.9066,1.49,True
496,42.9134,-85.7053,2.57,True
497,41.4048,-81.7229,2.4,True
498,30.364,-91.0264,0.0,False
499,36.9903,-86.4436,1.74,True
